Date,Bitcoin,^BSESN,^GSPC,^IXIC,^N225,^NSEI
2019-06-14,8650.0,39452.0703125,2886.97998046875,7796.66015625,21116.890625,11823.2998046875
2019-06-17,9313.96,38960.7890625,2889.669921875,7845.02001953125,21124.0,11672.150390625
2019-06-18,9081.55,39046.33984375,2917.75,7953.8798828125,20972.7109375,11691.5
2019-06-19,9255.49,39112.73828125,2926.4599609375,7987.31982421875,21333.869140625,11691.4501953125
2019-06-20,9517.12,39601.62890625,2954.179931640625,8051.33984375,21462.859375,11831.75
2019-06-21,10159.86,39194.48828125,2950.4599609375,8031.7099609375,21258.640625,11724.099609375
2019-06-24,11056.59,39122.9609375,2945.35009765625,8005.7001953125,21285.990234375,11699.650390625
2019-06-25,11820.86,39434.94140625,2917.3798828125,7884.72021484375,21193.810546875,11796.4501953125
2019-06-26,13093.8,39592.078125,2913.780029296875,7909.97021484375,21086.58984375,11847.5498046875
2019-06-27,11329.99,39586.41015625,2924.919921875,7967.759765625,21338.169921875,11841.5498046875
2019-06-28,12400.63,39394.640625,2941.760009765625,8006.240234375,21275.919921875,11788.849609375
2019-07-01,10624.93,39686.5,2964.330078125,8091.16015625,21729.970703125,11865.599609375
2019-07-02,10842.85,39816.48046875,2973.010009765625,8109.08984375,21754.26953125,11910.2998046875
2019-07-03,11940.0,39839.25,2995.820068359375,8170.22998046875,21638.16015625,11916.75
2019-07-05,10970.73,39513.390625,2990.409912109375,8161.7900390625,21746.380859375,11811.150390625
2019-07-08,12238.6,38720.5703125,2975.949951171875,8098.3798828125,21534.349609375,11558.599609375
2019-07-09,12543.41,38730.8203125,2979.6298828125,8141.72998046875,21565.150390625,11555.900390625
2019-07-10,12108.37,38557.0390625,2993.070068359375,8202.5302734375,21533.48046875,11498.900390625
2019-07-11,11342.89,38823.109375,2999.909912109375,8196.0400390625,21643.529296875,11582.900390625
2019-07-12,11757.22,38736.23046875,3013.77001953125,8244.1396484375,21685.900390625,11552.5
2019-07-16,9439.59,39131.0390625,3004.0400390625,8222.7998046875,21535.25,11662.599609375
2019-07-17,9667.92,39215.640625,2984.419921875,8185.2099609375,21469.1796875,11687.5
2019-07-18,10627.16,38897.4609375,2995.110107421875,8207.240234375,21046.240234375,11596.900390625
2019-07-19,10504.29,38337.01171875,2976.610107421875,8146.490234375,21466.990234375,11419.25
2019-07-22,10340.31,38031.12890625,2985.030029296875,8204.1396484375,21416.7890625,11346.2001953125
2019-07-23,9864.91,37982.73828125,3005.469970703125,8251.400390625,21620.880859375,11331.0498046875
